,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
25,DELL G3 15-3500 Gaming Laptop - Intel Core I5-10300H - 8GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GTX 1650Ti GPU - Windows 10 - Black (English Keyboard),https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i5-10300h-8gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gtx-1650ti-gpu-windows-10-black-english-keyboard-dell-mpg767979.html,947,I5,5,Intel,5,Jumia (EG)
26,Lenovo IdeaPad Gaming 3 Laptop - Intel Core I7-10750H - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD-GeForce® GTX 1650 4GB - 4GB GPU - DOS - Black,https://www.jumia.com.eg/ideapad-gaming-3-laptop-intel-core-i7-10750h-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-geforcer-gtx-1650-4gb-4gb-gpu-dos-black-lenovo-mpg773000.html,1008,I7,7,Intel,12,Jumia (EG)
27,HP Pavilion Gaming - 15-dk0056wm 1TB+256 SSD Core I5-8GB RAM 15.6-inch FHD-4GB GPU -Shadow Black,https://www.jumia.com.eg/hp-pavilion-gaming-15-dk0056wm-1tb256-ssd-core-i5-8gb-ram-15.6-inch-fhd-4gb-gpu-shadow-black-21080705.html,911,I5,5,Intel,9,Jumia (EG)
28,Asus Rog Strix G512li Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black,https://www.jumia.com.eg/asus-rog-strix-g512li-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-21173930.html,1080,I7,7,Intel,10,Jumia (EG)
29,DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 8GB RAM - 256GB SSD - 15.6-inch FHD – 4GB GPU - Windows 10 - Black,https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-dell-mpg769827.html,1020,I7,7,Intel,6,Jumia (EG)
30,Lenovo IdeaPad Gaming 3 15IMH05 Laptop - Intel Core I5 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GTX 1650 Ti GPU - Windows 10 - Onyx Black (English Keyboard),https://www.jumia.com.eg/ideapad-gaming-3-15imh05-laptop-intel-core-i5-8gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gtx-1650-ti-gpu-windows-10-onyx-black-english-keyboard-lenovo-mpg763327.html,903,I5,5,Intel,3,Jumia (EG)
31,HP OMEN 15 Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Shadow Black,https://www.jumia.com.eg/hp-omen-15-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-shadow-black-21200133.html,1740,I7,7,Intel,28,Jumia (EG)
32,MSI GF65 Thin Gaming Laptop - Intel Core I7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 6GB 1660TI GPU - Windows 10 - English Keyboard,https://www.jumia.com.eg/msi-gf65-thin-gaming-laptop-intel-core-i7-8gb-ram-512gb-ssd-15.6-inch-fhd-6gb-1660ti-gpu-windows-10-english-keyboard-21164900.html,1080,I7,7,Intel,18,Jumia (EG)
33,Lenovo Ideapad 3 Gaming Laptop - Intel Core I7 - 8GB RAM - 512 SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black,https://www.jumia.com.eg/ideapad-3-gaming-laptop-intel-core-i7-8gb-ram-512-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-lenovo-mpg773001.html,960,I7,7,Intel,6,Jumia (EG)
34,Lenovo Ideapad 15IMH05 3 Gaming Laptop - Intel Core I5 - 8GB RAM - 1TB HDD + 128GB SSD - 15.6-inch FHD - 4GB GPU - DOS - Onyx Black,https://www.jumia.com.eg/lenovo-ideapad-15imh05-3-gaming-laptop-intel-core-i5-8gb-ram-1tb-hdd-128gb-ssd-15.6-inch-fhd-4gb-gpu-dos-onyx-black-21219408.html,840,I5,5,Intel,18,Jumia (EG)
